Average mark awarded for your highest qualification,Hours willing to work per day,Hackathons Attended,Public speaking points,Can you work for a long time before a system?,Are you a self learner?,Attended Extra-courses,Certifications Awarded,Workshops Attended,Reading and writing skills,How do you rate your memory?,Interested subjects,Interested in games,Interested book genre,Management or Technical,Team worker or not?,Are you an introvert?,Suggested Job Role
77.44444444,7,4,5,yes,yes,no,shell programming,testing,excellent,excellent,data engineering,no,Horror,Technical,no,no,Systems Security Administrator
72.44444444,10,0,5,no,yes,no,full stack,database security,excellent,poor,parallel computing,yes,Childrens,Management,no,no,Business Systems Analyst
74.77777778,11,4,9,yes,no,no,app development,web technologies,poor,excellent,data engineering,yes,Trilogy,Technical,yes,no,Design & UX
76.55555556,9,6,9,no,yes,no,hadoop,hacking,excellent,excellent,Computer Architecture,yes,Childrens,Technical,no,yes,Solutions Architect
77.44444444,11,6,5,no,no,yes,app development,system designing,poor,poor,Computer Architecture,yes,Encyclopedias,Technical,no,yes,Business Systems Analyst
75.55555556,9,5,4,no,yes,no,shell programming,cloud computing,excellent,poor,hacking,no,Encyclopedias,Management,no,yes,Systems Analyst
73.11111111,8,0,7,yes,no,no,full stack,system designing,medium,medium,data engineering,yes,Action and Adventure,Technical,no,yes,Network Security Administrator
77.66666667,10,2,8,yes,yes,yes,app development,hacking,poor,poor,cloud computing,yes,Anthology,Technical,yes,no,Data Architect
81.66666667,5,1,9,yes,yes,yes,python,game development,poor,excellent,Software Engineering,yes,Action and Adventure,Technical,no,yes,CRM Technical Developer
78.44444444,5,1,9,no,yes,no,app development,web technologies,medium,excellent,Software Engineering,yes,Dictionaries,Technical,no,no,Software Developer
71.66666667,5,2,7,no,yes,yes,machine learning,data science,medium,medium,IOT,yes,Fantasy,Technical,no,no,E-Commerce Analyst
77.11111111,11,4,1,yes,yes,yes,full stack,web technologies,poor,medium,Software Engineering,yes,Childrens,Management,yes,no,Technical Services/Help Desk/Tech Support
73.77777778,8,0,8,yes,yes,no,machine learning,testing,poor,excellent,Management,yes,Drama,Technical,yes,no,Systems Analyst
80.44444444,5,6,4,yes,yes,no,shell programming,testing,poor,medium,networks,no,Comics,Management,yes,no,Information Technology Auditor
72.77777778,4,4,9,yes,yes,no,python,testing,poor,excellent,data engineering,no,Art,Technical,no,no,Network Security Administrator
74.66666667,7,6,5,no,yes,yes,shell programming,cloud computing,medium,medium,Software Engineering,no,Horror,Technical,no,yes,Database Manager
77.88888889,9,1,5,yes,yes,no,python,database security,poor,poor,hacking,no,Self help,Management,yes,yes,Web Developer
78.11111111,10,5,5,no,no,no,distro making,database security,excellent,poor,Computer Architecture,no,Diaries,Technical,yes,no,Information Security Analyst
81.88888889,12,1,5,yes,yes,no,information security,database security,excellent,poor,parallel computing,yes,Science fiction,Technical,no,no,E-Commerce Analyst
74.77777778,11,3,4,yes,no,yes,machine learning,cloud computing,poor,medium,hacking,no,Comics,Management,no,yes,Technical Services/Help Desk/Tech Support
72.77777778,4,0,2,yes,yes,no,information security,testing,poor,poor,programming,yes,Series,Management,yes,no,Applications Developer
79.44444444,6,1,6,no,yes,yes,information security,database security,medium,medium,hacking,yes,Childrens,Technical,no,yes,Software Systems Engineer
75.55555556,10,5,8,no,yes,yes,hadoop,cloud computing,poor,poor,cloud computing,no,Self help,Technical,no,yes,CRM Technical Developer
70.66666667,10,3,8,yes,yes,no,shell programming,system designing,poor,poor,parallel computing,no,Guide,Technical,yes,no,Database Manager
75.88888889,8,0,3,yes,no,no,machine learning,hacking,poor,poor,networks,yes,Biographies,Technical,yes,no,Technical Support
74.55555556,5,6,7,no,no,no,full stack,testing,poor,medium,Management,yes,Series,Technical,no,no,Database Administrator
72.55555556,9,0,9,yes,yes,yes,distro making,hacking,excellent,poor,hacking,no,Health,Technical,no,yes,Network Engineer
81,6,4,8,yes,no,yes,machine learning,system designing,poor,poor,data engineering,yes,Diaries,Technical,no,yes,Mobile Applications Developer
69.77777778,4,0,4,no,no,no,distro making,testing,poor,excellent,Computer Architecture,yes,Journals,Management,yes,yes,Technical Services/Help Desk/Tech Support
81.55555556,7,2,7,no,no,yes,full stack,cloud computing,poor,excellent,parallel computing,yes,Diaries,Management,no,no,Technical Support
77,7,5,5,yes,yes,no,machine learning,game development,medium,medium,Management,no,Diaries,Technical,yes,no,Information Technology Manager
74.77777778,10,3,5,yes,no,no,r programming,web technologies,poor,poor,Management,no,Art,Management,yes,yes,E-Commerce Analyst
76.88888889,10,5,8,yes,no,no,python,data science,medium,medium,cloud computing,no,Prayer books,Management,no,yes,Software Developer
73.88888889,9,2,8,no,no,no,information security,cloud computing,excellent,poor,Computer Architecture,no,Guide,Management,no,yes,Solutions Architect
77.77777778,8,5,3,no,yes,yes,python,database security,medium,excellent,data engineering,no,Childrens,Management,yes,no,Software Systems Engineer
74.11111111,12,0,6,no,yes,yes,hadoop,testing,medium,poor,data engineering,yes,Art,Management,yes,no,Network Engineer
76,8,2,4,yes,no,no,r programming,cloud computing,excellent,medium,networks,yes,History,Management,yes,yes,Technical Support
77.66666667,4,0,7,yes,no,yes,hadoop,web technologies,poor,poor,IOT,no,Health,Technical,yes,no,Information Technology Manager
77.33333333,5,0,3,no,no,yes,information security,web technologies,poor,excellent,programming,no,Anthology,Technical,no,no,Software Engineer
73.44444444,5,5,1,yes,no,yes,information security,system designing,poor,medium,hacking,yes,Science fiction,Management,yes,no,Software Developer
75.88888889,5,4,8,no,yes,no,python,testing,medium,excellent,IOT,yes,Travel,Management,yes,yes,Programmer Analyst
80.33333333,9,4,9,no,no,no,machine learning,system designing,excellent,poor,cloud computing,no,Guide,Management,yes,no,CRM Business Analyst
77.77777778,7,6,2,yes,yes,no,machine learning,cloud computing,excellent,poor,Computer Architecture,no,Autobiographies,Technical,no,yes,Software Developer
74.88888889,6,6,1,yes,no,no,r programming,web technologies,medium,medium,parallel computing,no,Biographies,Management,no,no,Business Intelligence Analyst
82.66666667,10,3,8,no,no,no,r programming,system designing,medium,poor,data engineering,no,Encyclopedias,Technical,no,no,Database Administrator
77.55555556,8,3,5,no,yes,no,distro making,game development,poor,excellent,IOT,no,Satire,Management,yes,no,Technical Engineer
72.55555556,10,2,3,yes,no,no,app development,testing,excellent,poor,Management,yes,Health,Technical,no,no,Data Architect
83.66666667,8,6,9,yes,yes,yes,app development,testing,medium,medium,IOT,no,Science,Technical,yes,yes,Network Security Engineer
74.33333333,5,0,4,yes,no,no,full stack,cloud computing,excellent,excellent,parallel computing,no,Self help,Management,no,no,CRM Technical Developer
76,6,0,1,yes,no,yes,app development,system designing,excellent,excellent,Management,yes,Satire,Technical,yes,no,Software Developer
79.33333333,12,0,3,yes,yes,yes,machine learning,system designing,medium,medium,data engineering,yes,Prayer books,Technical,no,yes,Systems Security Administrator
80.66666667,11,0,4,yes,yes,yes,distro making,testing,excellent,excellent,Computer Architecture,yes,Encyclopedias,Technical,no,no,Network Engineer
73.11111111,11,0,1,yes,no,no,shell programming,hacking,medium,excellent,Management,no,Drama,Management,yes,yes,Technical Services/Help Desk/Tech Support
76.88888889,7,3,1,no,no,no,machine learning,database security,poor,poor,Computer Architecture,no,Health,Technical,no,no,Systems Security Administrator
81.11111111,9,5,2,yes,yes,yes,hadoop,web technologies,poor,medium,IOT,yes,Action and Adventure,Management,yes,yes,Web Developer
77.66666667,8,0,6,no,yes,no,full stack,hacking,poor,poor,Software Engineering,yes,Fantasy,Technical,no,no,Portal Administrator
79.77777778,5,5,8,yes,yes,no,full stack,game development,poor,excellent,Computer Architecture,yes,Anthology,Management,yes,no,Software Developer
77.22222222,11,3,8,no,no,yes,distro making,data science,medium,excellent,parallel computing,no,Biographies,Management,no,yes,Network Security Engineer
75.66666667,5,3,4,yes,no,yes,machine learning,cloud computing,excellent,excellent,networks,yes,Horror,Technical,no,yes,Solutions Architect
79.44444444,5,6,8,no,yes,no,shell programming,cloud computing,poor,excellent,hacking,yes,Poetry,Management,yes,yes,Network Security Administrator
72.55555556,12,1,6,no,yes,yes,app development,hacking,excellent,excellent,data engineering,no,Romance,Management,yes,yes,Portal Administrator
70.77777778,7,5,3,no,yes,yes,shell programming,cloud computing,excellent,poor,IOT,yes,Anthology,Technical,no,no,UX Designer
77.33333333,4,2,2,yes,no,yes,app development,system designing,medium,poor,Management,yes,Self help,Management,yes,no,Project Manager
74.22222222,10,3,2,no,yes,no,hadoop,data science,medium,poor,parallel computing,yes,Horror,Management,yes,no,Project Manager
79.44444444,5,0,3,yes,no,yes,distro making,game development,excellent,poor,Management,yes,History,Technical,yes,yes,Network Engineer
75.11111111,7,6,5,no,no,yes,machine learning,game development,excellent,excellent,cloud computing,yes,Fantasy,Management,no,no,Quality Assurance Associate
75.55555556,6,6,3,no,no,yes,shell programming,testing,excellent,medium,Management,no,Autobiographies,Technical,no,yes,Applications Developer
73.44444444,8,1,8,no,yes,yes,shell programming,game development,excellent,excellent,hacking,no,Guide,Management,yes,no,Technical Engineer
79.11111111,6,3,8,no,no,no,distro making,testing,excellent,medium,networks,no,Prayer books,Management,yes,yes,Network Security Administrator
78.44444444,5,5,6,yes,no,yes,full stack,web technologies,medium,excellent,Management,yes,Science fiction,Management,yes,no,CRM Technical Developer
77.11111111,10,1,7,no,yes,yes,python,data science,medium,poor,Management,no,Horror,Technical,yes,yes,E-Commerce Analyst
79.88888889,6,4,3,yes,no,yes,information security,hacking,excellent,excellent,parallel computing,no,Guide,Management,no,yes,Software Quality Assurance (QA) / Testing
75.66666667,12,3,1,yes,yes,no,machine learning,hacking,poor,medium,hacking,yes,Art,Technical,yes,yes,Network Security Administrator
82,12,4,8,no,yes,yes,r programming,cloud computing,poor,poor,networks,yes,Self help,Management,no,yes,Network Engineer
76,7,5,8,yes,yes,yes,information security,database security,poor,poor,programming,yes,Drama,Technical,no,no,Technical Engineer
71.88888889,7,5,7,no,no,yes,machine learning,system designing,poor,poor,parallel computing,yes,Series,Management,yes,yes,Systems Security Administrator
77.44444444,6,2,6,no,yes,yes,python,data science,medium,medium,Computer Architecture,no,Childrens,Management,yes,yes,Design & UX
82.33333333,4,5,6,yes,yes,yes,app development,web technologies,poor,poor,Computer Architecture,yes,Mystery,Management,yes,no,Database Administrator
81.66666667,4,6,9,no,yes,yes,hadoop,data science,poor,excellent,parallel computing,yes,Cookbooks,Management,yes,no,Programmer Analyst
75.33333333,4,3,3,no,no,yes,python,cloud computing,excellent,poor,programming,yes,Prayer books,Technical,yes,no,Software Quality Assurance (QA) / Testing
80.33333333,7,5,7,no,yes,yes,machine learning,data science,excellent,excellent,networks,no,Science fiction,Management,no,no,CRM Business Analyst
70.88888889,12,2,9,no,no,yes,shell programming,game development,poor,medium,Management,yes,Encyclopedias,Technical,yes,no,Database Manager
77.44444444,6,0,4,no,yes,yes,python,database security,excellent,medium,hacking,yes,Poetry,Management,no,yes,Software Developer
73.22222222,6,1,3,yes,yes,yes,python,data science,poor,excellent,Management,yes,Dictionaries,Management,yes,no,Solutions Architect
77.33333333,12,5,6,no,no,no,shell programming,data science,medium,excellent,Software Engineering,no,Horror,Management,no,no,Information Security Analyst
71.44444444,10,3,1,no,no,yes,machine learning,web technologies,medium,medium,Software Engineering,yes,Self help,Management,no,yes,Network Security Engineer
73.44444444,11,5,8,no,yes,yes,information security,cloud computing,excellent,excellent,programming,yes,Dictionaries,Technical,no,no,Network Engineer
73.55555556,4,0,3,yes,no,no,shell programming,database security,medium,excellent,Software Engineering,no,Trilogy,Technical,no,no,Technical Support
73.88888889,11,3,2,no,yes,yes,information security,game development,medium,excellent,Computer Architecture,yes,Encyclopedias,Management,no,yes,Systems Analyst
72.11111111,11,6,5,no,yes,yes,r programming,data science,medium,medium,IOT,yes,Self help,Technical,no,yes,Information Technology Auditor
71,12,0,3,yes,no,no,hadoop,system designing,medium,excellent,parallel computing,no,Diaries,Management,no,yes,CRM Technical Developer
80.11111111,5,1,6,no,yes,no,python,cloud computing,poor,poor,Software Engineering,yes,Horror,Technical,no,yes,Technical Services/Help Desk/Tech Support
72.66666667,5,3,9,yes,yes,yes,python,hacking,poor,poor,cloud computing,yes,Biographies,Technical,no,no,Software Quality Assurance (QA) / Testing
80.11111111,7,0,9,yes,no,yes,shell programming,system designing,excellent,excellent,cloud computing,no,Art,Management,no,no,Business Systems Analyst
78,6,2,6,no,no,yes,r programming,data science,poor,medium,hacking,yes,Fantasy,Management,no,yes,Technical Engineer
69.77777778,11,4,5,no,yes,yes,hadoop,web technologies,medium,excellent,Computer Architecture,no,Poetry,Technical,yes,yes,Technical Support
76.55555556,12,5,9,no,no,no,hadoop,database security,medium,medium,Computer Architecture,no,Romance,Technical,yes,no,Information Technology Auditor
79,5,2,6,yes,yes,no,information security,web technologies,excellent,medium,parallel computing,yes,Trilogy,Technical,yes,yes,Network Security Administrator
74.88888889,7,6,8,no,yes,yes,hadoop,hacking,poor,excellent,networks,yes,Encyclopedias,Management,yes,no,Information Technology Manager
78.22222222,7,0,1,no,no,no,shell programming,testing,excellent,medium,cloud computing,no,Guide,Management,no,no,Web Developer
74,7,2,6,yes,yes,yes,r programming,web technologies,poor,excellent,networks,yes,Self help,Technical,no,no,Business Systems Analyst
69.66666667,9,0,1,no,no,no,distro making,game development,excellent,poor,Management,no,Mystery,Technical,yes,no,Systems Analyst
72,7,2,4,yes,no,no,information security,database security,medium,excellent,hacking,no,Horror,Technical,no,yes,Web Developer
82,7,0,8,yes,no,yes,machine learning,database security,poor,medium,Software Engineering,no,Self help,Management,no,no,Solutions Architect
72.33333333,9,6,2,no,no,yes,information security,data science,medium,excellent,cloud computing,no,Guide,Technical,no,yes,UX Designer
73.22222222,8,6,6,no,yes,yes,full stack,hacking,excellent,medium,programming,no,Biographies,Technical,yes,no,Network Engineer
83.44444444,6,3,1,yes,no,yes,information security,testing,excellent,poor,data engineering,yes,Travel,Technical,no,no,Applications Developer
80.88888889,7,5,4,no,yes,yes,app development,cloud computing,excellent,excellent,Management,no,Travel,Technical,no,no,Project Manager
77.22222222,12,1,1,no,no,no,machine learning,system designing,medium,excellent,hacking,no,Drama,Management,no,no,UX Designer
78.33333333,4,4,6,yes,yes,no,shell programming,data science,medium,medium,data engineering,no,Guide,Technical,yes,no,Database Administrator
77.66666667,12,1,4,no,yes,yes,shell programming,web technologies,excellent,excellent,programming,no,Biographies,Management,no,yes,Information Technology Auditor
73.77777778,10,0,4,yes,no,no,hadoop,testing,poor,poor,networks,yes,Fantasy,Management,yes,no,Database Developer
78.88888889,10,4,7,yes,yes,no,hadoop,database security,poor,excellent,hacking,yes,Romance,Technical,yes,yes,Database Manager
76.22222222,12,1,3,no,yes,no,information security,system designing,medium,excellent,IOT,yes,Cookbooks,Technical,no,yes,Software Systems Engineer
79,9,1,4,no,yes,no,app development,hacking,medium,medium,Computer Architecture,yes,Self help,Management,yes,yes,UX Designer
77.55555556,6,0,8,no,yes,no,shell programming,database security,excellent,excellent,parallel computing,no,Mystery,Management,no,no,Solutions Architect
80.44444444,12,5,4,yes,no,no,app development,game development,poor,medium,programming,yes,Horror,Management,yes,yes,Project Manager
77.22222222,10,1,1,yes,no,yes,machine learning,web technologies,poor,excellent,parallel computing,yes,Health,Management,no,yes,Network Engineer
78.88888889,10,1,9,yes,yes,no,information security,hacking,excellent,excellent,cloud computing,yes,Health,Technical,no,no,E-Commerce Analyst
75.44444444,5,4,4,yes,yes,no,information security,database security,medium,poor,networks,no,Anthology,Management,no,yes,Business Systems Analyst
75,5,1,9,no,yes,no,full stack,system designing,medium,medium,programming,yes,Childrens,Management,no,no,E-Commerce Analyst
78.11111111,6,2,6,yes,yes,no,shell programming,system designing,poor,medium,IOT,yes,Satire,Technical,no,no,Systems Security Administrator
72.44444444,6,0,3,no,no,no,app development,system designing,medium,excellent,programming,yes,Science,Technical,yes,yes,Mobile Applications Developer
80.44444444,11,1,7,yes,no,yes,machine learning,cloud computing,excellent,poor,networks,yes,Guide,Management,no,yes,Business Systems Analyst
80.77777778,4,0,6,yes,no,yes,python,hacking,poor,poor,data engineering,yes,Horror,Technical,no,no,Quality Assurance Associate
77.55555556,11,1,5,yes,yes,no,machine learning,cloud computing,excellent,poor,Software Engineering,yes,Travel,Management,yes,no,Technical Engineer
81.77777778,6,1,5,yes,yes,no,app development,hacking,poor,excellent,parallel computing,no,Horror,Management,yes,no,Data Architect
77.66666667,5,0,1,yes,no,no,hadoop,system designing,excellent,poor,data engineering,no,Dictionaries,Technical,yes,yes,Software Quality Assurance (QA) / Testing
78.44444444,4,5,3,no,no,no,r programming,data science,excellent,excellent,data engineering,yes,Fantasy,Management,no,yes,CRM Technical Developer
74.44444444,7,5,9,yes,yes,no,hadoop,system designing,excellent,poor,networks,yes,Trilogy,Management,no,yes,Database Developer
78.22222222,12,5,2,yes,no,no,hadoop,game development,poor,poor,cloud computing,no,Science,Technical,no,no,Information Security Analyst
80.88888889,4,5,1,no,yes,yes,information security,data science,poor,medium,Software Engineering,no,Childrens,Technical,yes,no,Software Systems Engineer
77.55555556,7,6,8,yes,yes,no,distro making,hacking,excellent,excellent,programming,yes,Anthology,Technical,yes,no,Design & UX
80.33333333,11,0,1,yes,no,yes,full stack,data science,medium,excellent,data engineering,no,Science,Technical,no,no,Database Developer
69.77777778,7,0,5,yes,yes,no,full stack,database security,medium,poor,programming,no,Comics,Technical,no,no,Systems Analyst
83.66666667,6,6,4,no,yes,yes,python,web technologies,medium,poor,hacking,no,Religion-Spirituality,Technical,no,no,Business Intelligence Analyst
76.22222222,6,3,6,yes,no,yes,shell programming,testing,medium,poor,parallel computing,no,Biographies,Management,no,no,Software Engineer
76.55555556,4,2,9,no,no,no,hadoop,cloud computing,poor,medium,parallel computing,no,Mystery,Technical,no,yes,Network Security Administrator
78.11111111,10,3,1,no,no,yes,hadoop,system designing,poor,medium,Computer Architecture,yes,Biographies,Technical,no,no,UX Designer
77.77777778,8,4,8,no,no,yes,hadoop,game development,poor,excellent,cloud computing,no,Encyclopedias,Management,yes,yes,Information Security Analyst
80.88888889,11,4,4,yes,no,no,distro making,testing,poor,medium,cloud computing,no,Horror,Management,no,yes,Software Systems Engineer
76.44444444,8,6,5,no,yes,yes,full stack,game development,excellent,poor,IOT,yes,History,Management,yes,no,Network Engineer
69.55555556,12,6,2,yes,yes,no,hadoop,system designing,poor,poor,programming,yes,Travel,Management,no,yes,Network Security Administrator
74.44444444,12,4,7,no,yes,no,information security,web technologies,excellent,medium,programming,no,Biographies,Management,no,no,Programmer Analyst
74.66666667,9,1,9,yes,no,no,full stack,system designing,excellent,medium,cloud computing,yes,Satire,Technical,no,no,Information Technology Manager
79.88888889,7,3,7,no,no,no,app development,web technologies,excellent,poor,data engineering,no,Guide,Management,no,no,Web Developer
80,11,1,2,no,yes,no,information security,data science,medium,medium,cloud computing,yes,Guide,Management,yes,yes,Web Developer
72.66666667,12,6,5,no,no,yes,full stack,system designing,medium,poor,Computer Architecture,yes,Fantasy,Management,yes,yes,Portal Administrator
76.77777778,7,0,9,yes,no,yes,shell programming,data science,excellent,medium,programming,yes,Mystery,Management,no,no,Solutions Architect
85.33333333,12,1,8,yes,yes,no,app development,game development,poor,medium,programming,no,Action and Adventure,Management,no,no,Portal Administrator
77.77777778,7,4,1,yes,no,yes,app development,data science,medium,poor,IOT,yes,History,Technical,no,yes,Information Technology Manager
76.66666667,8,4,6,yes,no,yes,information security,data science,medium,poor,Software Engineering,yes,Childrens,Technical,yes,no,Database Administrator
77.33333333,5,4,2,no,no,no,machine learning,database security,poor,excellent,IOT,yes,Travel,Technical,yes,yes,Software Developer
79,11,1,3,no,yes,no,app development,hacking,poor,excellent,programming,no,Health,Technical,yes,no,Portal Administrator
74.88888889,9,6,5,no,no,yes,r programming,database security,excellent,poor,networks,yes,Guide,Management,yes,yes,Applications Developer
74.11111111,7,0,7,no,no,yes,full stack,hacking,excellent,poor,data engineering,yes,Health,Technical,no,no,Design & UX
79.33333333,8,6,3,yes,no,yes,r programming,system designing,excellent,medium,parallel computing,no,Science,Management,no,no,Network Security Engineer
75.33333333,5,0,3,yes,yes,no,information security,system designing,poor,poor,programming,no,Travel,Technical,no,yes,Solutions Architect
76.66666667,5,1,3,yes,no,yes,app development,cloud computing,poor,excellent,cloud computing,no,Mystery,Management,no,no,Systems Analyst
80.44444444,4,5,4,yes,yes,yes,full stack,hacking,poor,medium,parallel computing,yes,Self help,Technical,yes,yes,UX Designer
79.33333333,4,5,4,no,no,yes,machine learning,system designing,excellent,medium,cloud computing,no,Satire,Technical,no,yes,CRM Technical Developer
77.22222222,9,3,8,no,yes,no,python,hacking,medium,medium,cloud computing,no,History,Management,no,no,Technical Support
80.55555556,11,0,1,yes,yes,yes,shell programming,cloud computing,medium,poor,programming,yes,Autobiographies,Technical,yes,yes,Information Technology Manager
82.11111111,8,1,5,yes,no,no,distro making,hacking,excellent,medium,programming,yes,Series,Technical,yes,yes,Systems Security Administrator
75,12,2,1,yes,yes,yes,app development,database security,poor,poor,Management,no,Series,Management,yes,no,Data Architect
77.22222222,12,0,3,no,no,yes,hadoop,hacking,medium,medium,hacking,no,Drama,Technical,no,no,Business Intelligence Analyst
81,8,6,5,no,yes,no,python,web technologies,poor,poor,parallel computing,yes,Biographies,Technical,yes,no,UX Designer
78.22222222,11,0,5,no,yes,yes,machine learning,system designing,excellent,medium,Computer Architecture,yes,Horror,Technical,no,yes,Portal Administrator
77.88888889,12,5,3,no,yes,yes,distro making,testing,poor,poor,hacking,yes,Childrens,Technical,no,yes,Database Administrator
71.77777778,7,2,9,yes,yes,yes,shell programming,web technologies,poor,poor,data engineering,no,Romance,Technical,no,yes,Network Security Engineer
78.77777778,7,0,4,no,yes,no,distro making,game development,excellent,medium,Software Engineering,yes,Health,Technical,yes,no,Applications Developer
77.66666667,6,5,2,no,no,yes,full stack,game development,medium,excellent,hacking,no,Encyclopedias,Technical,yes,no,Software Quality Assurance (QA) / Testing
74.33333333,11,0,9,no,yes,no,distro making,database security,poor,excellent,hacking,no,Fantasy,Management,no,yes,Database Manager
75.77777778,9,1,6,no,no,yes,full stack,database security,medium,medium,IOT,no,Fantasy,Technical,yes,no,Portal Administrator
74.44444444,10,4,4,yes,yes,yes,information security,game development,excellent,poor,programming,yes,Self help,Technical,yes,yes,Software Developer
76.77777778,4,6,2,no,yes,no,app development,game development,excellent,poor,parallel computing,yes,Prayer books,Technical,no,yes,CRM Business Analyst
84.66666667,8,6,9,no,no,yes,distro making,web technologies,excellent,excellent,Software Engineering,no,Guide,Management,no,yes,Database Developer
77.11111111,10,2,5,yes,yes,yes,full stack,testing,excellent,poor,Software Engineering,yes,Cookbooks,Management,yes,no,Software Quality Assurance (QA) / Testing
74.11111111,5,6,9,yes,yes,no,full stack,database security,medium,excellent,Management,yes,Science,Technical,yes,yes,Software Quality Assurance (QA) / Testing
75.55555556,7,6,3,yes,yes,yes,full stack,database security,excellent,poor,hacking,yes,Health,Technical,yes,yes,UX Designer
79.44444444,8,4,8,yes,yes,no,information security,testing,excellent,poor,parallel computing,yes,Anthology,Management,yes,no,Network Security Administrator
79.22222222,7,3,5,yes,yes,yes,full stack,cloud computing,poor,medium,networks,no,Trilogy,Management,yes,no,Business Systems Analyst
80.33333333,12,5,4,yes,yes,no,information security,testing,excellent,poor,parallel computing,no,Diaries,Technical,yes,yes,CRM Technical Developer
77.66666667,9,0,9,yes,no,yes,app development,data science,poor,poor,data engineering,no,Self help,Management,no,no,Project Manager
77.22222222,9,3,7,no,yes,no,full stack,game development,medium,excellent,Software Engineering,no,Mystery,Technical,no,yes,Technical Support
